post_id,time,text
730004149170923,2023-11-10 23:35:06,Chúng ta hãy cùng nhau một lần nữa nhìn lại hình ảnh này - khoảnh khắc quyết định vận mệnh và lịch sử của toàn bộ Vũ Trụ:
729861169185221,2023-11-10 18:27:51,"""Ta là Loki của Asgard. Và ta gánh vác trên mình mục đích đầy vẻ vang."" 🧑‍🎨🧙"
729701689201169,2023-11-10 11:35:33,"ĐM TẬP CUỐI TUYỆT VỜI🤯😱💯!
GLORIOUS PURPOSE!!!!👏💚🦹‍♂️
LOKI THE GREATEST GOD OF ALL TIME!!!
Show hay nhất MCU cmnr hoặc ít nhất là tập cuối hay nhất😁😆.
Ad không muốn gây hype quá mức cho các bạn đâu nhưng kỳ thực nó tuyệt vời quá ạ🥺😵‍💫
Ai biết tiếng Anh thì xem luôn đi, và ko có after credit gì đâu."
729692509202087,2023-11-10 11:04:08,Tất cả các phim trong năm 2024 của MCU đều sẽ là phim mười tám cộng 🥹🥹
729666115871393,2023-11-10 09:48:32,Theo thông báo mới của Disney thì năm sau chỉ có một phim MCU đó là Deadpool 3 🥵. Hai phim Captain Americ: Brave New World và Thunderbolts đáng lẽ cùng ra vào 2024 thì bị dời sang 2025.
729398519231486,2023-11-09 21:29:44,"The Marvels ổn áp 1 cách bất ngờ nha mọi người 😂😂 Xem xong thấy KHÔNG HỀ TỆ như tưởng tượng, HAY hơn mong đợi rất nhiều luôn.
-1 admin mới xem xong-"
729351225902882,2023-11-09 19:51:54,Vì mấy mẻ diễn viên đình công nên mấy người lôi tôi ra phỏng vấn thật à 😂😂😂
729292349242103,2023-11-09 17:23:01,"TIN VUI: Sau thời gian rất dài thì cuộc đình công của Hollywood lịch sử đã đi đến hồi kết. Sau khi hiệp hội biên kịch đồng ý với thỏa thuận mới, thì vào sáng ngày hôm nay hiệp hội các diễn viên đã chấp nhận đàmXem thêm phán cuối cùng từ các Studios. Trong thời gian này tuyệt đối không có diễn viên nào được pr cho các bộ phim hay đăng tải về các bộ phim của mình, các bộ phim đang dừng lại khi không có diễn viên.
Tuy nhiêu cuộc đình công SAG-AFTRA sẽ sớm chính thức kết thúc và đây là tín hiệu đáng mừng cho tất cả các bên đặc biệt là người hâm mộ vì các bộ phim sẽ theo được đúng lịch trình ra mắt."
729158322588839,2023-11-09 10:15:21,"Có một sự thật chắc chắn là ai cũng phải đồng tình trên các bài đánh giá là Ms.Marvel sẽ là ngôi sao của phim lần này.
Cô bé vào vai một cách tự nhiên nhất, dù là một tân binh nhưng lại có tính cách hòa đồng và là trái tim gắn kết tất cả mọi người. Xem xong ai cũng sẽ thích vai diễn của Iman Vellani cho mà xem."
728884865949518,2023-11-08 22:02:39,"Review nhanh The Marvels:
. So với Kiến 3 và Vệ Binh 3 thì phim này chắc nằm ngay chính giữa, an toàn 👌
. Các hoàng thượng xuất hiện cảnh nào là chiếm sóng cảnh đó
. Đẩy ngay chiếc thuyền cho Cap Marvel vớiXem thêm chủ tịch Park Seo Joon
. Xuất hiện cực nhiều nhân vật đặc biệt
. Kĩ xảo CGI ngon lành
. Nhạc phim bao phê
. Đoạn mid-credits đỉnh vklllllll 😭😭"
728762865961718,2023-11-08 17:13:03,"Chuẩn bị lần đầu tiên được thấy màn team up giữa Captain Marvel và Ms Marvel trên điện ảnh.

The Marvels bắt đầu khởi chiếu vào ngày mai tại các rạp trên toàn quốc nhé các bạn"
728692722635399,2023-11-08 13:36:09,"Nếu bạn nghĩ The Marvels kéo các Avengers để thu hút fan thì không phải lần đầu đâu Marvel vẫn sử dụng thế mạnh của Vũ Trụ điện ảnh để thu hút khán giả đâu. Ant-Man, Doctor Strange, Black Widow, Guardians of the Galaxy, Eternals, ... đều đưa vào trailer để tạo sự liên kết là chuyện bình thường chứ cũng ko có j quá đặc biệt."
728641052640566,2023-11-08 10:57:52,"ĐỘC LẠ GALAXY !!
Lướt trên mạng thấy Galaxy mở cụm rạp theme The Marvels luôn không biết có bạn nào đi check VAR chưa chứ nhìn ưng phết đấy.
Hay làm nhẹ cái offline ở rạp này thì chắc khỏi cần trang trí luôn"
728483025989702,2023-11-08 02:10:35,Thích nhất đoạn cao trào trong Loki season 2 khi thực tại bắt đầu bị xoá thì Loki hô to “It’s xoá bảng time”
728409392663732,2023-11-07 22:56:31,Có thể Kang mà hội đồng Kang nói tới không phải Kang mà chúng ta nghĩ 🤔🤔🤔
728332969338041,2023-11-07 19:57:35,"Sau khi có phản hồi tích cực từ trailer của Echo thì đạo diễn của Blade MCU cũng không giấu nữa mà chia sẻ luôn là phần Blade tiếp theo sẽ là phim Rated-R với yếu tố bạo lực và ngôn từ nhạy cảm.
Đây cũng là phim Rated-R thứ 2 của MCU sau Deadpool 3"
728155199355818,2023-11-07 11:46:03,"Không biết Marvel có ký kết gì với anh Musk không mà trailer nào cũng cài cắm rất nhiều các chữ X.
Liệu The Marvels có liên quan gì đến mạng xã hội X không ta?"
728132902691381,2023-11-07 10:38:33,"Trailer cuối cùng của The Marvels.
Trận chiến này sẽ không dừng lại ở một vũ trụ, cánh cổng không gian đã mở ra và kéo theo đó là sự hủy hiệt. Có vẻ như cả vợ chồng nhà Loki đều thích mở cổng không gian mang tàu vũ trụ đến đánh nhà người ta.

The Marvels đã mở bán vé tại tất cả các rạp trên toàn quốc"
728129619358376,2023-11-07 10:27:36,"Phiên bản MCU của D.B.Cooper và Frank Morris, hai tội phạm có cuộc đào thoát thành công và biến mất biệt tăm không có lời giải đáp.
Hóa ra là do alien ""bắt cóc"" cả :v :)))."
727936109377727,2023-11-07 01:36:28,"""Glorious Purpose"""
727850819386256,2023-11-06 22:33:44,Trông hình này cứ như bìa Album của cô ca sĩ Thúy Loan giấu tên nào đó ý nhỉ
727818706056134,2023-11-06 21:31:35,"[MINIGAME - TRÚNG VÉ HỌP BÁO - THE MARVELS]

Để chào đón bom tấn cuối cùng của nhà M trong năm nay - The Marvels sẽ được khởi chiếu chính thức tại các rạp trên toàn quốc từ ngày 10/11. Hội hâm mộ Marvel chúngXem thêm mình sẽ tổ chức một minigame nho nhỏ tặng các bạn vé họp báo tại khu vực Hà Nội. Cụ thể
Thời gian: 18h ngày 9/11/2023
Địa điểm: CGV Metropolis Liễu Giai, Hà Nội
Để tham gia minigame các bạn hãy làm theo các bước sau:
📌B1: Like + Share bài viết này ở chế độ công khai
📌B2: Cmt tên chú ""mèo"" đã cùng đồng hành với Captain Marvel trong phần phim đầu tiên + Tag 1 ng bạn
📌B3: Chờ đợi kết quả

Kết quả sẽ được chúng mình công bố vào tối thứ 4 ngày 8/11. Các bạn yên tâm là vẫn sẽ còn 1 minigame với những phần quà hấp dẫn không kém sẽ được lên sóng nha !!!! Nhanh tay chơi minigame thôi nào

#TheMarvels"
727746762729995,2023-11-06 18:42:16,"Đoạn này tội ông chú vc 😔🥺
Khi bạn muốn làm nhà văn nhưng đời bắt làm TVA :v
Rất thích khiếu hài hước của chú, kể cả tình huống buồn vẫn cố gắng lạc quan vui vẻ. :)))"
